feature,gain,fold
TransactionAmt_DT_W_std_score,1759,1
TransactionAmt_DT_M_min_max,1262,1
TransactionAmt_DT_M_std_score,1722,1
product_type,1946,1
product_type_DT_D,3377,1
product_type_DT_W,2403,1
product_type_DT_M,2296,1
C1_fq_enc,1406,1
C2_fq_enc,641,1
C3_fq_enc,95,1
C4_fq_enc,90,1
C5_fq_enc,312,1
C6_fq_enc,723,1
C7_fq_enc,45,1
C8_fq_enc,178,1
C9_fq_enc,458,1
C10_fq_enc,173,1
C11_fq_enc,718,1
C12_fq_enc,141,1
C13_fq_enc,1354,1
C14_fq_enc,793,1
id_01,828,1
id_02,2216,1
id_03,328,1
id_04,159,1
id_05,1077,1
id_06,751,1
id_07,42,1
id_08,26,1
id_09,392,1
id_10,36,1
id_11,138,1
id_12,8,1
id_13,618,1
id_14,258,1
id_15,130,1
id_16,40,1
id_17,222,1
id_18,499,1
id_19,938,1
id_20,1779,1
id_21,44,1
id_22,0,1
id_23,5,1
id_24,12,1
id_25,21,1
id_26,7,1
id_27,0,1
id_28,19,1
id_29,11,1
id_30,284,1
id_31,1247,1
id_32,126,1
id_33,530,1
id_34,86,1
id_35,0,1
id_36,96,1
id_37,44,1
id_38,176,1
DeviceType,245,1
DeviceInfo,915,1
id_33_0,268,1
id_33_1,453,1
DeviceInfo_device,823,1
DeviceInfo_version,736,1
id_30_device,81,1
id_30_version,314,1
id_31_device,684,1
TransactionAmt,2001,2
ProductCD,578,2
card1,3840,2
card2,2796,2
card3,70,2
card4,306,2
card5,422,2
card6,439,2
addr1,3059,2
addr2,44,2
dist1,2445,2
dist2,1243,2
P_emaildomain,3636,2
R_emaildomain,1308,2
C1,1905,2
C2,1262,2
C3,161,2
C4,227,2
C5,567,2
C6,1245,2
C7,102,2
C8,506,2
C9,903,2
C10,440,2
C11,1328,2
C12,526,2
C13,3159,2
C14,1522,2
D1,873,2
D2,987,2
D3,249,2
D4,531,2
D5,225,2
D6,203,2
D7,38,2
D8,505,2
D9,750,2
D10,561,2
D11,335,2
D12,95,2
D13,35,2
D14,178,2
D15,786,2
M1,11,2
M2,279,2
M3,619,2
M4,1332,2
M5,1430,2
M6,1261,2
M7,323,2
M8,280,2
M9,335,2
V1,3,2
V2,51,2
V3,36,2
V4,98,2
V5,174,2
V6,44,2
V7,66,2
V8,14,2
V9,17,2
V10,149,2
V11,80,2
V12,283,2
V13,297,2
V14,0,2
V15,11,2
V16,13,2
V17,12,2
V18,19,2
V19,199,2
V20,285,2
V21,4,2
V22,8,2
V23,117,2
V24,167,2
V25,67,2
V26,52,2
V27,0,2
V28,0,2
V29,229,2
V30,181,2
V31,6,2
V32,1,2
V33,49,2
V34,58,2
V35,201,2
V36,229,2
V37,211,2
V38,339,2
V39,44,2
V40,90,2
V41,0,2
V42,34,2
V43,128,2
V44,286,2
V45,698,2
V46,26,2
V47,185,2
V48,227,2
V49,231,2
V50,8,2
V51,60,2
V52,128,2
V53,376,2
V54,468,2
V55,310,2
V56,190,2
V57,50,2
V58,172,2
V59,37,2
V60,103,2
V61,309,2
V62,563,2
V63,37,2
V64,155,2
V65,0,2
V66,183,2
V67,398,2
V68,0,2
V69,194,2
V70,339,2
V71,11,2
V72,65,2
V73,41,2
V74,161,2
V75,309,2
V76,373,2
V77,287,2
V78,433,2
V79,142,2
V80,44,2
V81,160,2
V82,499,2
V83,640,2
V84,2,2
V85,74,2
V86,291,2
V87,635,2
V88,1,2
V89,0,2
V90,231,2
V91,287,2
V92,10,2
V93,52,2
V94,68,2
V95,13,2
V96,103,2
V97,11,2
V98,8,2
V99,117,2
V100,11,2
V101,12,2
V102,75,2
V103,9,2
V104,7,2
V105,79,2
V106,9,2
V107,0,2
V108,70,2
V109,28,2
V110,8,2
V111,24,2
V112,14,2
V113,2,2
V114,3,2
V115,45,2
V116,8,2
V117,0,2
V118,0,2
V119,0,2
V120,0,2
V121,5,2
V122,0,2
V123,46,2
V124,106,2
V125,52,2
V126,98,2
V127,265,2
V128,134,2
V129,125,2
V130,253,2
V131,169,2
V132,48,2
V133,194,2
V134,55,2
