feature,gain,fold
id_01,5956,2
id_02,24870,2
id_03,1451,2
id_04,607,2
id_05,7590,2
id_06,9676,2
id_07,282,2
id_08,308,2
id_09,1739,2
id_10,622,2
id_11,647,2
id_12,435,2
id_13,2189,2
id_14,206,2
id_15,2295,2
id_16,2269,2
id_17,79,2
id_18,150,2
id_19,8000,2
id_20,9414,2
id_21,246,2
id_22,0,2
id_23,73,2
id_24,0,2
id_25,21,2
id_26,55,2
id_27,19,2
id_28,1069,2
id_29,862,2
id_30,3350,2
id_31,9099,2
id_32,12,2
id_33,2867,2
id_34,838,2
id_35,165,2
id_36,221,2
id_37,1259,2
id_38,2930,2
DeviceType,2468,2
DeviceInfo,7067,2
f103__TransactionAmt_decimal,28981,2
f103__card1_count_full,68957,2
f103__Transaction_day_of_week,29121,2
f103__Transaction_hour,45369,2
f103__id_02__id_20,16799,2
f103__id_02__D8,15302,2
f103__D11__DeviceInfo,19535,2
f103__DeviceInfo__P_emaildomain,24472,2
f103__P_emaildomain__C2,34225,2
f103__card2__dist1,48557,2
f103__card1__card5,56248,2
f103__card2__id_20,42244,2
f103__card5__P_emaildomain,41335,2
f103__addr1__card1,62052,2
id_34_count_full,485,2
id_36_count_full,145,2
id_01_count_dist,5199,2
id_31_count_dist,14477,2
id_33_count_dist,5875,2
id_35_count_dist,71,2
id_36_count_dist,95,2
f201__DeviceInfo_CE,13249,2
f201__DeviceType_CE,1294,2
f201__M1_CE,197,2
f201__M2_CE,2546,2
f201__M3_CE,4451,2
f201__M4_CE,10073,2
f201__M5_CE,8628,2
f201__M6_CE,7733,2
f201__M7_CE,4022,2
f201__M8_CE,5415,2
f201__M9_CE,4404,2
f201__P_emaildomain_CE,26104,2
f201__ProductCD_CE,1900,2
f201__R_emaildomain_CE,10351,2
f201__addr1_CE,44122,2
f201__addr2_CE,632,2
f201__card4_CE,5891,2
f201__card6_CE,5053,2
f201__id_01_CE,6017,2
f201__id_03_CE,1797,2
f201__id_04_CE,497,2
f201__id_05_CE,8304,2
f201__id_06_CE,9584,2
f201__id_07_CE,154,2
f201__id_08_CE,176,2
f201__id_09_CE,1687,2
f201__id_10_CE,493,2
f201__id_11_CE,673,2
f201__id_12_CE,178,2
f201__id_13_CE,9646,2
f201__id_14_CE,3157,2
f201__id_15_CE,1177,2
f201__id_16_CE,1374,2
f201__id_17_CE,952,2
f201__id_18_CE,3546,2
f201__id_19_CE,14621,2
f201__id_20_CE,14469,2
f201__id_21_CE,213,2
f201__id_22_CE,16,2
f201__id_23_CE,74,2
f201__id_24_CE,82,2
f201__id_25_CE,140,2
f201__id_26_CE,126,2
f201__id_27_CE,4,2
f201__id_28_CE,439,2
f201__id_29_CE,365,2
f201__id_30_CE,5540,2
f201__id_31_CE,13254,2
f201__id_32_CE,648,2
f201__id_33_CE,5118,2
f201__id_34_CE,406,2
f201__id_35_CE,63,2
f201__id_36_CE,84,2
f201__id_37_CE,668,2
f201__id_38_CE,1713,2
TransactionDT,92241,3
TransactionAmt,84022,3
ProductCD,695,3
card1,36377,3
card2,23994,3
card3,1185,3
card4,318,3
card5,7729,3
card6,485,3
addr1,27339,3
addr2,18,3
dist1,30005,3
dist2,9645,3
P_emaildomain,9027,3
R_emaildomain,2669,3
C1,20043,3
C2,17005,3
C3,333,3
C4,3165,3
C5,4791,3
C6,12863,3
C7,2078,3
C8,5044,3
C9,9089,3
C10,4862,3
C11,12966,3
C12,5375,3
C13,31527,3
C14,15061,3
D1,23884,3
D2,26330,3
D3,18033,3
D4,31260,3
D5,18018,3
D6,6527,3
D7,3290,3
D8,17096,3
D9,9637,3
D10,26784,3
D11,22993,3
D12,6621,3
D13,3366,3
D14,7052,3
D15,38644,3
M1,1237,3
M2,5264,3
M3,6738,3
M4,10566,3
M5,11881,3
M6,10853,3
M7,6396,3
M8,8213,3
M9,7106,3
V1,113,3
V2,1345,3
V3,2421,3
V4,3837,3
V5,4929,3
V6,1546,3
V7,2196,3
V8,976,3
V9,1188,3
V10,2848,3
V11,2989,3
V12,4342,3
V13,4335,3
V14,26,3
V15,463,3
V16,439,3
V17,351,3
V18,427,3
V19,3271,3
V20,3957,3
V21,210,3
V22,241,3
V23,1475,3
V24,1976,3
V25,1161,3
V26,1118,3
V27,10,3
V28,6,3
V29,2212,3
V30,2110,3
V31,332,3
V32,336,3
V33,832,3
V34,943,3
V35,5554,3
V36,5568,3
V37,3584,3
V38,4832,3
V39,1640,3
V40,1992,3
V41,61,3
V42,1230,3
V43,1619,3
V44,4463,3
V45,5675,3
V46,1060,3
V47,1883,3
V48,3212,3
V49,3266,3
V50,629,3
V51,1864,3
V52,2355,3
V53,4550,3
V54,4564,3
V55,1929,3
V56,2749,3
V57,864,3
V58,929,3
V59,902,3
V60,1187,3
V61,3801,3
V62,4472,3
V63,833,3
V64,1155,3
V65,27,3
V66,1707,3
V67,2343,3
V68,11,3
V69,2136,3
V70,2285,3
V71,531,3
V72,760,3
V73,1078,3
V74,1738,3
V75,5147,3
V76,5520,3
V77,2968,3
V78,4271,3
V79,1140,3
V80,964,3
V81,1410,3
V82,4535,3
V83,5326,3
V84,623,3
V85,1171,3
V86,3437,3
V87,5178,3
V88,17,3
V89,6,3
V90,2669,3
V91,2918,3
V92,623,3
V93,819,3
V94,1000,3
V95,786,3
V96,3309,3
V97,1324,3
V98,314,3
V99,2429,3
V100,774,3
V101,352,3
V102,1101,3
V103,414,3
V104,128,3
V105,694,3
V106,211,3
V107,0,3
V108,199,3
V109,226,3
V110,64,3
V111,27,3
V112,62,3
V113,12,3
V114,80,3
V115,311,3
V116,93,3
V117,5,3
V118,22,3
V119,3,3
V120,17,3
V121,57,3
V122,39,3
V123,353,3
V124,1272,3
V125,413,3
V126,3475,3
V127,9137,3
V128,5652,3
V129,1909,3
V130,8160,3
V131,4608,3
V132,1288,3
V133,2953,3
V134,1701,3
V135,990,3
V136,2393,3
V137,1207,3
V138,28,3
V139,1374,3
V140,1065,3
V141,90,3
V142,114,3
V143,867,3
V144,437,3
V145,768,3
V146,312,3
V147,410,3
V148,567,3
V149,1202,3
V150,745,3
V151,480,3
V152,991,3
V153,307,3
V154,508,3
V155,383,3
V156,756,3
V157,322,3
V158,391,3
V159,619,3
V160,1108,3
V161,267,3
V162,306,3
V163,247,3
V164,1022,3
V165,1749,3
V166,858,3
V167,518,3
V168,705,3
V169,443,3
V170,1027,3
V171,947,3
V172,147,3
V173,111,3
V174,261,3
V175,300,3
V176,428,3
V177,292,3
V178,570,3
V179,405,3
V180,392,3
V181,195,3
V182,388,3
V183,289,3
V184,252,3
V185,247,3
V186,376,3
V187,1082,3
V188,597,3
V189,839,3
V190,472,3
V191,115,3
V192,191,3
V193,106,3
V194,148,3
V195,147,3
V196,75,3
V197,176,3
V198,180,3
V199,527,3
V200,783,3
V201,870,3
V202,1876,3
V203,3203,3
V204,2225,3
V205,533,3
V206,450,3
V207,1089,3
V208,1237,3
V209,1237,3
V210,1145,3
V211,888,3
V212,1325,3
V213,1075,3
V214,771,3
V215,1209,3
V216,1001,3
V217,986,3
V218,1950,3
V219,1219,3
V220,675,3
V221,2488,3
V222,2109,3
V223,384,3
V224,777,3
V225,413,3
V226,245,3
V227,306,3
V228,704,3
V229,1569,3
V230,931,3
V231,597,3
V232,1039,3
V233,734,3
V234,985,3
V235,290,3
V236,539,3
V237,360,3
V238,393,3
V239,457,3
V240,6,3
V241,1,3
V242,518,3
V243,955,3
V244,613,3
V245,1597,3
V246,671,3
V247,103,3
V248,399,3
V249,177,3
V250,774,3
V251,918,3
V252,61,3
V253,517,3
V254,231,3
V255,605,3
V256,979,3
V257,1222,3
