feature,gain,fold
V172,161,5
V173,108,5
V175,282,5
V176,302,5
V177,270,5
V178,505,5
V180,317,5
V182,322,5
V184,241,5
V187,770,5
V188,386,5
V189,642,5
V195,131,5
V197,186,5
V200,552,5
V201,635,5
V202,1159,5
V203,1924,5
V204,1205,5
V205,514,5
V206,394,5
V207,975,5
V208,984,5
V209,1232,5
V210,1017,5
V212,1118,5
V213,745,5
V214,571,5
V215,864,5
V216,736,5
V217,610,5
V219,725,5
V220,393,5
V221,1377,5
V222,1334,5
V223,321,5
V224,635,5
V225,342,5
V226,232,5
V227,266,5
V228,496,5
V229,925,5
V231,421,5
V233,513,5
V234,664,5
V238,280,5
V239,315,5
V242,351,5
V243,542,5
V244,344,5
V245,992,5
V246,333,5
V247,84,5
V249,144,5
V251,598,5
V253,329,5
V256,547,5
V257,671,5
V258,789,5
V259,808,5
V261,1140,5
V262,754,5
V263,1168,5
V264,2502,5
V265,1784,5
V266,905,5
V267,1491,5
V268,1105,5
V270,837,5
V271,988,5
V272,807,5
V273,815,5
V274,1435,5
V275,914,5
V276,814,5
V277,1174,5
V278,834,5
V279,1278,5
V280,2005,5
V282,3971,5
V283,4130,5
V285,3954,5
V287,1235,5
V288,1209,5
V289,1488,5
V291,2606,5
V292,1209,5
V294,2255,5
V303,335,5
V304,215,5
V306,3770,5
V307,9689,5
V308,5927,5
V310,10259,5
V312,5430,5
V313,8699,5
V314,7154,5
V315,8581,5
V317,4615,5
V322,236,5
V323,620,5
V324,369,5
V326,224,5
V329,206,5
V331,447,5
V332,863,5
V333,531,5
V335,469,5
V336,252,5
V338,355,5
id_01,4001,5
id_02,11864,5
id_03,992,5
id_05,4208,5
id_06,5195,5
id_09,1158,5
id_11,579,5
id_12,207,5
id_13,4664,5
id_14,2087,5
id_15,1106,5
id_17,900,5
id_19,8921,5
id_20,9580,5
id_30,2050,5
id_31,4131,5
id_32,653,5
id_33,1810,5
id_36,237,5
id_37,778,5
id_38,1882,5
DeviceType,1309,5
DeviceInfo,2727,5
f201__DeviceInfo_CE,5500,5
f201__DeviceType_CE,756,5
f201__M1_CE,128,5
f201__M2_CE,1469,5
f201__M3_CE,2104,5
f201__M4_CE,3524,5
f201__M5_CE,3311,5
f201__M6_CE,3231,5
f201__M7_CE,1396,5
f201__M8_CE,1920,5
f201__M9_CE,1410,5
f201__P_emaildomain_CE,12978,5
f201__ProductCD_CE,1404,5
f201__R_emaildomain_CE,5024,5
f201__addr1_CE,24407,5
